"store","websites","attribute_set","type","category_ids","sku","has_options","name","url_key","url_path","options_container","price","weight","status","visibility","tax_class_id","brand","supplier","mode","description","short_description","special_from_date","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","meta_title","meta_description","image","small_image","thumbnail","custom_design","page_layout","image_label","small_image_label","thumbnail_label","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","gift_message_available","special_price","msrp","is_recurring","meta_keyword","custom_layout_update","special_to_date","news_from_date","news_to_date","custom_design_from","custom_design_to"
"admin","pdc","Default","simple","8","4255","0","VOCAL-EZE THROAT SPRAY 30ML","vocal-eze-throat-spray-30ml","vocal-eze-throat-spray-30ml.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","ABCON INTERNATIONAL DRUG","BestSeller","VOCAL-EZE THROAT SPRAY 30ML","VOCAL-EZE THROAT SPRAY 30ML","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","VOCAL-EZE THROAT SPRAY 30ML","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","13","3159","0","GINSOMIN CAP 30S","ginsomin-cap-30s","ginsomin-cap-30s.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","Ginsomin","ABCON INTERNATIONAL DRUG","Normal","GINSOMIN CAP 30S","GINSOMIN CAP 30S","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","GINSOMIN CAP 30S","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","3754","0","ORA HEAL GEL 10ML","ora-heal-gel-10ml","ora-heal-gel-10ml.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","ABCON INTERNATIONAL DRUG","Normal","ORA HEAL GEL 10ML","ORA HEAL GEL 10ML","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","ORA HEAL GEL 10ML","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","4178","0","TRAVISIL HERBAL COUGH SUGAR FREE SYRUP 100ML","travisil-herbal-cough-sugar-free-syrup-100ml","travisil-herbal-cough-sugar-free-syrup-100ml.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","ABCON INTERNATIONAL DRUG","Normal","TRAVISIL HERBAL COUGH SUGAR FREE SYRUP 100ML","TRAVISIL HERBAL COUGH SUGAR FREE SYRUP 100ML","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","TRAVISIL HERBAL COUGH SUGAR FREE SYRUP 100ML","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","4179","0","TRAVISIL SUGAR FREE LEMON LOZ 12S","travisil-sugar-free-lemon-loz-12s","travisil-sugar-free-lemon-loz-12s.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","ABCON INTERNATIONAL DRUG","Normal","TRAVISIL SUGAR FREE LEMON LOZ 12S","TRAVISIL SUGAR FREE LEMON LOZ 12S","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","TRAVISIL SUGAR FREE LEMON LOZ 12S","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","10","1720","0","PROCOMIL SPRAY 45ML","procomil-spray-45ml","procomil-spray-45ml.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","Procomil","ABDULLA AL MUTAWA","Normal","PROCOMIL SPRAY 45ML","PROCOMIL SPRAY 45ML","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","PROCOMIL SPRAY 45ML","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","23","0","ACTIFED COUGH COLD EXPT SYRUP 200ML","actifed-cough-cold-expt-syrup-200ml","actifed-cough-cold-expt-syrup-200ml.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","AL Baker / Ibn Beeter","BestSeller","ACTIFED COUGH COLD EXPT SYRUP 200ML","ACTIFED COUGH COLD EXPT SYRUP 200ML","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","ACTIFED COUGH COLD EXPT SYRUP 200ML","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","269","0","BETNOVATE 0.1% CREAM 30GM","betnovate-0-1-cream-30gm","betnovate-0-1-cream-30gm.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","AL Baker / Ibn Beeter","BestSeller","BETNOVATE 0.1% CREAM 30GM","BETNOVATE 0.1% CREAM 30GM","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","BETNOVATE 0.1% CREAM 30GM","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","4385","0","BRUFEN 400MG TAB 250S","brufen-400mg-tab-250s","brufen-400mg-tab-250s.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","AL Baker / Ibn Beeter","BestSeller","BRUFEN 400MG TAB 250S","BRUFEN 400MG TAB 250S","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","BRUFEN 400MG TAB 250S","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","302","0","BRUFEN 600MG SACH 20S","brufen-600mg-sach-20s","brufen-600mg-sach-20s.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","AL Baker / Ibn Beeter","BestSeller","BRUFEN 600MG SACH 20S","BRUFEN 600MG SACH 20S","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","BRUFEN 600MG SACH 20S","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
