store,websites,attribute_set,type,category_ids,sku,has_options,name,meta_title,meta_description,image,small_image,thumbnail,url_key,url_path,options_container,image_label,small_image_label,thumbnail_label,special_price,weight,msrp,status,visibility,tax_class_id,brand,supplier,mode,description,short_description,meta_keyword,custom_layout_update,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,website,_media_image,_media_lable,_media_position,_media_is_disabled,custom_design,page_layout,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,price,is_recurring
admin,pdc,Default,simple,7,,0,A and D UA1010 BP Monitor,,,/agentx.png,/agentx.png,/agentx.png,a-and-d-ua1010-bp-monitor,,Product Info Column,,,,,1,,Enabled,"Catalog, Search",Shipping,Acai ,PHARMAXXI,Normal,Acai Cleanse Detox Liquid 947ML,Acai Cleanse Detox Liquid 947ML,,,,,,,,,100000,0,1,0,0,1,1,0,0,1,1,,0,1,1,0,0,1,0,1,0,0,0,1,A and D UA1010 BP Monitor,0,simple,,,,,,,,,,,,,,0,
admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/c/7/c78a8f517b3674337571c30026ecf28e_1764.png,,1,0,,,,,,,0,
admin,pdc,Default,simple,13,AGNT3,0,Acai Cleanse Detox Liquid 947ML,,,/agentx.png,/agentx.png,/agentx.png,acai-cleanse-detox-liquid-947ml,acai-cleanse-detox-liquid-947ml.html,Product Info Column,,,,,1,,Enabled,"Catalog, Search",Shipping,Acai ,PHARMAXXI,Normal,Acai Cleanse Detox Liquid 947ML,Acai Cleanse Detox Liquid 947ML,,,,,,,,,100000,0,1,0,0,1,1,0,0,1,1,,0,1,1,0,0,1,0,1,0,0,0,1,Acai Cleanse Detox Liquid 947ML,0,simple,,,,,,,,,No layout updates, ,Use config,Use config,No,0,No
admin,pdc,Default,simple,8,AGNT4,0,Acc 200 Sachet 20S,,,/agentx.png,/agentx.png,/agentx.png,acc-200-sachet-20s,acc-200-sachet-20s.html,Product Info Column,,,,,1,,Enabled,"Catalog, Search",Shipping,MEDICINES,ALPHAMED,BestSeller,Acc 200 Sachet 20S,Acc 200 Sachet 20S,,,,,,,,,99996,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Acc 200 Sachet 20S,0,simple,,,,,,,,,,,,,,0,
admin,pdc,Default,simple,8,AGNT5,0,Acc 600 Long Effervescent Tablet 10S,,,/agentx.png,/agentx.png,/agentx.png,acc-600-long-effervescent-tablet-10s,acc-600-long-effervescent-tablet-10s.html,Product Info Column,,,,,1,,Enabled,"Catalog, Search",Shipping,MEDICINES,ALPHAMED,Normal,Acc 600 Long Effervescent Tablet 10S,Acc 600 Long Effervescent Tablet 10S,,,,,,,,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Acc 600 Long Effervescent Tablet 10S,0,simple,,,,,,,,,,,,,,0,
admin,pdc,Default,simple,7,AGNT7,0,Accuchek Active Strip 50S,,,/agentx.png,/agentx.png,/agentx.png,accuchek-active-strip-50s,accuchek-active-strip-50s.html,Product Info Column,,,,,1,,Enabled,"Catalog, Search",Shipping,Accuchek ,PHARMA TRADE,Normal,Accuchek Active Strip 50S,Accuchek Active Strip 50S,,,,,,,,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Accuchek Active Strip 50S,0,simple,,,,,,,,,,,,,,0,
admin,pdc,Default,simple,7,AGNT8,0,Accuchek Performa Meter,,,/agentx.png,/agentx.png,/agentx.png,accuchek-performa-meter,accuchek-performa-meter.html,Product Info Column,,,,,1,,Enabled,"Catalog, Search",Shipping,Accuchek ,PHARMA TRADE,Normal,Accuchek Performa Meter,Accuchek Performa Meter,,,,,,,,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Accuchek Performa Meter,0,simple,,,,,,,,,,,,,,0,
admin,pdc,Default,simple,7,AGNT9,0,Accuchek Performa Strip 50S,,,/agentx.png,/agentx.png,/agentx.png,accuchek-performa-strip-50s,accuchek-performa-strip-50s.html,Product Info Column,,,,,1,,Enabled,"Catalog, Search",Shipping,Accuchek ,PHARMA TRADE,Normal,Accuchek Performa Strip 50S,Accuchek Performa Strip 50S,,,,,,,,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Accuchek Performa Strip 50S,0,simple,,,,,,,,,,,,,,0,
admin,pdc,Default,simple,7,AGNT10,0,Accuchek Sofltclix Lancets 100S,,,/agentx.png,/agentx.png,/agentx.png,accuchek-sofltclix-lancets-100s,accuchek-sofltclix-lancets-100s.html,Product Info Column,,,,,1,,Enabled,"Catalog, Search",Shipping,Accuchek ,PHARMA TRADE,Normal,Accuchek Sofltclix Lancets 100S,Accuchek Sofltclix Lancets 100S,,,,,,,,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Accuchek Sofltclix Lancets 100S,0,simple,,,,,,,,,,,,,,0,
admin,pdc,Default,simple,8,AGNT11,0,Acic 200MG Tablet 25S,,,/agentx.png,/agentx.png,/agentx.png,acic-200mg-tablet-25s,acic-200mg-tablet-25s.html,Product Info Column,,,,,1,,Enabled,"Catalog, Search",Shipping,MEDICINES,ALPHAMED,Normal,Acic 200MG Tablet 25S,Acic 200MG Tablet 25S,,,,,,,,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Acic 200MG Tablet 25S,0,simple,,,,,,,,,,,,,,0,
admin,pdc,Default,simple,8,AGNT21,0,Actifed Cold Tablet 12S,,,/agentx.png,/agentx.png,/agentx.png,actifed-cold-tablet-12s,actifed-cold-tablet-12s.html,Product Info Column,,,,,1,,Enabled,"Catalog, Search",Shipping,MEDICINES,IBN AL BEETAR TRADING,Normal,Actifed Cold Tablet 12S,Actifed Cold Tablet 12S,,,,,,,,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Actifed Cold Tablet 12S,0,simple,,,,,,,,,,,,,,0,
admin,pdc,Default,simple,8,AGNT23,0,Actifed Cough and Cold Expectorant Syrup 200ML,,,/agentx.png,/agentx.png,/agentx.png,actifed-cough-and-cold-expectorant-syrup-200ml,actifed-cough-and-cold-expectorant-syrup-200ml.html,Product Info Column,,,,,1,,Enabled,"Catalog, Search",Shipping,MEDICINES,IBN AL BEETAR TRADING,Normal,Actifed Cough and Cold Expectorant Syrup 200ML,Actifed Cough and Cold Expectorant Syrup 200ML,,,,,,,,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Actifed Cough and Cold Expectorant Syrup 200ML,0,simple,,,,,,,,,,,,,,0,
admin,pdc,Default,simple,13,AGNT24,0,Activita Vit C 1G Effervescent Tablet 20S,,,/agentx.png,/agentx.png,/agentx.png,activita-vit-c-1g-effervescent-tablet-20s,activita-vit-c-1g-effervescent-tablet-20s.html,Product Info Column,,,,,1,,Enabled,"Catalog, Search",Shipping,Activita ,MODERN PHARMACEUTICAL CO.,Normal,Activita Vit C 1G Effervescent Tablet 20S,Activita Vit C 1G Effervescent Tablet 20S,,,,,,,,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Activita Vit C 1G Effervescent Tablet 20S,0,simple,,,,,,,,,,,,,,0,
admin,pdc,Default,simple,8,AGNT25,0,Actos 15Mg Tablet 30S,,,/agentx.png,/agentx.png,/agentx.png,actos-15mg-tablet-30s,actos-15mg-tablet-30s.html,Product Info Column,,,,,1,,Enabled,"Catalog, Search",Shipping,MEDICINES,MODERN PHARMACEUTICAL CO.,Normal,Actos 15Mg Tablet 30S,Actos 15Mg Tablet 30S,,,,,,,,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Actos 15Mg Tablet 30S,0,simple,,,,,,,,,,,,,,0,
admin,pdc,Default,simple,8,AGNT26,0,Actos 30Mg Tablet 30S,,,/agentx.png,/agentx.png,/agentx.png,actos-30mg-tablet-30s,actos-30mg-tablet-30s.html,Product Info Column,,,,,1,,Enabled,"Catalog, Search",Shipping,MEDICINES,MODERN PHARMACEUTICAL CO.,Normal,Actos 30Mg Tablet 30S,Actos 30Mg Tablet 30S,,,,,,,,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Actos 30Mg Tablet 30S,0,simple,,,,,,,,,,,,,,0,
admin,pdc,Default,simple,8,AGNT29,0,Adalat LA 30Mg Tablet 30S,,,/agentx.png,/agentx.png,/agentx.png,adalat-la-30mg-tablet-30s,adalat-la-30mg-tablet-30s.html,Product Info Column,,,,,1,,Enabled,"Catalog, Search",Shipping,MEDICINES,AL ITTIHAD DRUG STORE,Normal,Adalat LA 30Mg Tablet 30S,Adalat LA 30Mg Tablet 30S,,,,,,,,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Adalat LA 30Mg Tablet 30S,0,simple,,,,,,,,,,,,,,0,
