store,websites,attribute_set,type,category_ids,sku,has_options,name,image,small_image,thumbnail,url_key,url_path,options_container,image_label,small_image_label,thumbnail_label,price,weight,status,visibility,tax_class_id,brand,supplier,mode,description,short_description,special_from_date,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,meta_title,meta_description,custom_design,page_layout,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,special_price,msrp,is_recurring,meta_keyword,custom_layout_update,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to
en,pdc,Default,simple,7,AGNT2,0,A and D UA1010 BP Monitor,/c/7/c78a8f517b3674337571c30026ecf28e_1764.png,/c/7/c78a8f517b3674337571c30026ecf28e_1764.png,/c/7/c78a8f517b3674337571c30026ecf28e_1764.png,a-and-d-ua1010-bp-monitor,a-and-d-ua1010-bp-monitor.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,A & D,NEW COUNTRY HEALTHCARE CO. LLC,Normal,AGNT_A and D UA1010 BP Monitor,A and D UA1010 BP Monitor,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,A and D UA1010 BP Monitor,2,simple,,,,,,,,,,,,,,,,,,,,
en,pdc,Default,simple,13,AGNT3,0,Acai Cleanse Detox Liquid 947ML,/c/7/c78a8f517b3674337571c30026ecf28e_1765.png,/c/7/c78a8f517b3674337571c30026ecf28e_1765.png,/c/7/c78a8f517b3674337571c30026ecf28e_1765.png,acai-cleanse-detox-liquid-947ml,acai-cleanse-detox-liquid-947ml.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,Acai ,PHARMAXXI,Normal,AGNT_Acai Cleanse Detox Liquid 947ML,Acai Cleanse Detox Liquid 947ML,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Acai Cleanse Detox Liquid 947ML,2,simple,,,,,,,,,,,,,,,,,,,,
en,pdc,Default,simple,8,AGNT4,0,Acc 200 Sachet 20S,/c/7/c78a8f517b3674337571c30026ecf28e_1766.png,/c/7/c78a8f517b3674337571c30026ecf28e_1766.png,/c/7/c78a8f517b3674337571c30026ecf28e_1766.png,acc-200-sachet-20s,acc-200-sachet-20s.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,MEDICINES,ALPHAMED,BestSeller,AGNT_Acc 200 Sachet 20S,Acc 200 Sachet 20S,,99996,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Acc 200 Sachet 20S,2,simple,,,,,,,,,,,,,,,,,,,,
en,pdc,Default,simple,8,AGNT5,0,Acc 600 Long Effervescent Tablet 10S,/c/7/c78a8f517b3674337571c30026ecf28e_1767.png,/c/7/c78a8f517b3674337571c30026ecf28e_1767.png,/c/7/c78a8f517b3674337571c30026ecf28e_1767.png,acc-600-long-effervescent-tablet-10s,acc-600-long-effervescent-tablet-10s.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,MEDICINES,ALPHAMED,Normal,AGNT_Acc 600 Long Effervescent Tablet 10S,Acc 600 Long Effervescent Tablet 10S,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Acc 600 Long Effervescent Tablet 10S,2,simple,,,,,,,,,,,,,,,,,,,,
en,pdc,Default,simple,7,AGNT7,0,Accuchek Active Strip 50S,/c/7/c78a8f517b3674337571c30026ecf28e_1768.png,/c/7/c78a8f517b3674337571c30026ecf28e_1768.png,/c/7/c78a8f517b3674337571c30026ecf28e_1768.png,accuchek-active-strip-50s,accuchek-active-strip-50s.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,Accuchek ,PHARMA TRADE,Normal,AGNT_Accuchek Active Strip 50S,Accuchek Active Strip 50S,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Accuchek Active Strip 50S,2,simple,,,,,,,,,,,,,,,,,,,,
en,pdc,Default,simple,7,AGNT8,0,Accuchek Performa Meter,/c/7/c78a8f517b3674337571c30026ecf28e_1769.png,/c/7/c78a8f517b3674337571c30026ecf28e_1769.png,/c/7/c78a8f517b3674337571c30026ecf28e_1769.png,accuchek-performa-meter,accuchek-performa-meter.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,Accuchek ,PHARMA TRADE,Normal,AGNT_Accuchek Performa Meter,Accuchek Performa Meter,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Accuchek Performa Meter,2,simple,,,,,,,,,,,,,,,,,,,,
en,pdc,Default,simple,7,AGNT9,0,Accuchek Performa Strip 50S,/c/7/c78a8f517b3674337571c30026ecf28e_1770.png,/c/7/c78a8f517b3674337571c30026ecf28e_1770.png,/c/7/c78a8f517b3674337571c30026ecf28e_1770.png,accuchek-performa-strip-50s,accuchek-performa-strip-50s.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,Accuchek ,PHARMA TRADE,Normal,AGNT_Accuchek Performa Strip 50S,Accuchek Performa Strip 50S,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Accuchek Performa Strip 50S,2,simple,,,,,,,,,,,,,,,,,,,,
en,pdc,Default,simple,7,AGNT10,0,Accuchek Sofltclix Lancets 100S,/c/7/c78a8f517b3674337571c30026ecf28e_1771.png,/c/7/c78a8f517b3674337571c30026ecf28e_1771.png,/c/7/c78a8f517b3674337571c30026ecf28e_1771.png,accuchek-sofltclix-lancets-100s,accuchek-sofltclix-lancets-100s.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,Accuchek ,PHARMA TRADE,Normal,AGNT_Accuchek Sofltclix Lancets 100S,Accuchek Sofltclix Lancets 100S,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Accuchek Sofltclix Lancets 100S,2,simple,,,,,,,,,,,,,,,,,,,,
en,pdc,Default,simple,8,AGNT11,0,Acic 200MG Tablet 25S,/c/7/c78a8f517b3674337571c30026ecf28e_1772.png,/c/7/c78a8f517b3674337571c30026ecf28e_1772.png,/c/7/c78a8f517b3674337571c30026ecf28e_1772.png,acic-200mg-tablet-25s,acic-200mg-tablet-25s.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,MEDICINES,ALPHAMED,Normal,AGNT_Acic 200MG Tablet 25S,Acic 200MG Tablet 25S,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Acic 200MG Tablet 25S,2,simple,,,,,,,,,,,,,,,,,,,,
en,pdc,Default,simple,8,AGNT21,0,Actifed Cold Tablet 12S,/c/7/c78a8f517b3674337571c30026ecf28e_1773.png,/c/7/c78a8f517b3674337571c30026ecf28e_1773.png,/c/7/c78a8f517b3674337571c30026ecf28e_1773.png,actifed-cold-tablet-12s,actifed-cold-tablet-12s.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,MEDICINES,IBN AL BEETAR TRADING,Normal,AGNT_Actifed Cold Tablet 12S,Actifed Cold Tablet 12S,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Actifed Cold Tablet 12S,2,simple,,,,,,,,,,,,,,,,,,,,
